#ra (deg)
#___ right ascension (J2000 decimal deg)
#dec (deg)
#___ declination (J2000 decimal deg)
#err_maj (arcsec)
#___ major axis of 1-sigma error ellipse
#err_min (arcsec)
#___ minor axis of 1-sigma error ellipse
#err_ang (deg)
#___ angle of error ellipse major axis (E of N)
#designation
#___ source designation formed from sexigesimal coordinates
#j_m (mag)
#___ J band selected "default" magnitude
#j_cmsig (mag)
#___ corrected J band photometric uncertainty
#j_msigcom (mag)
#___ combined (total) J band photometric uncertainty
#j_snr
#___ J band "scan" signal-to-noise ratio
#h_m (mag)
#___ H band selected "default" magnitude
#h_cmsig (mag)
#___ corrected H band photometric uncertainty
#h_msigcom (mag)
#___ combined (total) H band photometric uncertainty
#h_snr
#___ H band "scan" signal-to-noise ratio
#k_m (mag)
#___ K band selected "default" magnitude
#k_cmsig (mag)
#___ corrected K band photometric uncertainty
#k_msigcom (mag)
#___ combined (total) K band photometric uncertainty
#k_snr
#___ K band "scan" signal-to-noise ratio
#ph_qual
#___ flag indicating photometric quality of source
#rd_flg
#___ source of JHK "default" mags (AKA "read flag")
#bl_flg
#___ indicates # JHK components fit simultaneously to source
#cc_flg
#___ indicates JHK artifact contamination and/or confusion
#ndet
#___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
#gal_contam
#___ flag indicating if src is contaminated by extended source
#mp_flg
#___ src is positionally associated with an asteroid, comet, etc
#j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra,dec,j_m,h_m,k_m
274.427932,-13.838062,16.762,15.003,14.2
274.437041,-13.876773,15.977,13.465,13.752
274.438098,-13.870684,16.238,14.864,14.093
274.429876,-13.833258,12.176,11.716,11.583
274.431927,-13.814872,15.799,13.727,12.393
274.421202,-13.841544,16.005,15.263,15.547
274.427553,-13.841739,14.998,13.345,12.476
274.431967,-13.891088,16.053,14.778,13.846
274.433271,-13.896007,15.673,13.935,13.229
274.436631,-13.837362,16.13,14.051,13.177
274.435766,-13.878462,16.208,14.314,13.404
274.424878,-13.799321,14.866,14.226,13.741
274.423936,-13.76459,17.35,14.898,13.896
274.432652,-13.760719,17.986,13.837,12.723
274.4238,-13.747926,13.798,13.177,13.026
274.434058,-13.843027,13.734,11.824,11.11
274.423889,-13.834618,15.627,13.591,12.777
274.416641,-13.837703,16.031,13.955,13.118
274.427601,-13.799687,15.368,12.939,11.899
274.428668,-13.850211,14.911,13.225,12.537
274.421147,-13.794069,15.894,14.203,13.048
274.432598,-13.894841,16.084,14.86,14.14
274.43655,-13.796734,16.254,14.011,12.95
274.419997,-13.852033,15.266,13.264,12.499
274.436975,-13.864465,13.187,12.737,12.64
274.430671,-13.841497,15.143,13.059,12.163
274.43495,-13.810771,15.065,12.537,11.374
274.437159,-13.88669,15.309,14.525,13.651
274.421547,-13.770096,16.918,14.785,14.142
274.437636,-13.900134,13.63,11.423,11.538
274.675231,-14.031439,12.156,11.781,11.488
274.42625,-13.827895,16.624,14.391,13.407
274.435326,-13.871776,14.599,13.243,12.48
274.433783,-13.906049,15.675,13.649,12.779
274.418938,-13.827297,16.111,14.792,14.105
274.434973,-13.813593,16.174,14.486,13.371
274.433754,-13.77481,16.268,14.337,13.299
274.43453,-13.840199,16.743,14.851,14.012
274.437265,-13.904473,15.447,14.877,13.996
274.41924,-13.846111,14.022,12.145,11.301
274.434642,-13.842146,14.78,12.399,11.762
274.429546,-13.756887,10.751,8.239,6.956
274.418112,-13.807269,16.226,14.017,13.066
274.423589,-13.782735,16.614,14.379,13.921
274.419872,-13.765019,14.549,11.529,10.15
274.423352,-13.792854,16.634,14.898,14.172
274.420732,-13.772399,16.06,13.734,12.622
274.437666,-13.872573,16.692,14.832,14.281
274.425445,-13.836051,16.461,14.462,13.594
274.432794,-13.833772,16.751,14.513,13.39
274.437962,-13.899139,13.823,11.613,10.702
274.434439,-13.861179,16.059,13.86,13.211
274.428501,-13.78762,18.043,14.953,13.796
274.43257,-13.88613,15.631,13.64,12.809
274.431746,-13.792308,15.389,14.511,12.97
274.426016,-13.882992,15.304,13.304,12.543
274.431029,-13.735589,15.681,13.555,12.565
274.427313,-13.8426,15.366,13.341,12.628
274.418545,-13.800972,17.884,15.735,13.993
274.43706,-13.899554,13.564,11.365,11.495
274.426604,-13.765084,14.838,11.904,10.632
274.426905,-13.746404,14.097,11.717,10.657
274.42386,-13.865885,12.188,10.031,9.086
274.437547,-13.846862,16.138,14.252,13.437
274.437816,-13.890103,15.239,13.487,12.563
274.431596,-13.71898,16.211,13.589,12.45
274.430619,-13.792783,14.718,14.189,13.253
274.429104,-13.826,16.629,14.487,14.115
274.424225,-13.77431,16.336,14.414,13.593
274.429969,-13.83735,15.445,13.708,12.915
274.429442,-13.726581,18.095,15.324,14.367
274.429776,-13.89258,15.436,13.665,12.795
274.433493,-13.838202,17.127,15.582,14.19
274.424236,-13.858568,17.723,14.918,13.984
274.417171,-13.829644,15.614,14.289,13.632
274.435405,-13.886843,16.062,13.794,12.834
274.43393,-13.825527,16.617,14.179,13.09
274.41871,-13.784825,17.39,14.927,14.117
274.429321,-13.765125,17.519,14.756,13.634
274.436946,-13.823279,16.4,14.974,14.16
274.679362,-14.072893,15.228,13.137,12.244
274.672469,-13.998828,15.931,14.359,13.354
274.679654,-14.03001,13.842,13.425,13.301
274.803903,-13.992275,15.71,13.533,12.58
274.674241,-14.083389,16.1,14.493,13.963
274.664341,-14.023599,15.758,14.39,13.373
274.894301,-13.903308,16.879,14.984,13.997
274.787882,-14.043845,16.459,14.677,13.69
274.922272,-13.868392,16.642,14.025,13.435
274.727095,-14.002361,15.881,13.854,12.853
274.731652,-14.036294,14.526,12.572,11.68
274.748976,-14.049848,11.55,11.12,10.812
274.749418,-14.053151,15.918,14.85,14.454
274.911245,-13.97595,16.455,13.241,11.83
274.935328,-13.810477,15.867,13.255,12.061
274.782615,-13.927905,17.893,14.326,13.051
274.889153,-13.829842,15.355,12.838,11.755
274.762499,-14.044843,15.608,13.673,12.791
274.72074,-14.022594,14.627,13.463,12.774
274.711522,-13.961472,16.191,14.468,13.158
274.763438,-13.943701,17.379,14.327,12.757
274.754516,-14.058486,15.352,13.158,12.004
274.724349,-14.081255,16.301,14.278,13.384
274.915827,-13.85181,18.037,14.946,13.752
274.875462,-13.828413,15.058,14.102,13.73
274.836351,-13.989944,14.703,12.046,10.794
274.767134,-13.9386,17.531,14.992,13.933
274.779886,-13.901997,16.904,13.905,12.479
274.783627,-13.945143,16.051,14.043,13.11
274.789868,-13.912866,15.815,14.262,13.476
274.816198,-13.984359,12.928,12.484,12.301
274.882042,-13.882335,17.136,14.963,14.268
274.898203,-13.868149,14.796,12.983,12.808
274.705959,-14.054332,14.522,13.503,12.765
274.691639,-14.053458,16.037,14.073,13.055
274.893767,-13.863014,15.334,13.15,12.17
274.871026,-13.852613,17.36,15.382,14.174
274.913282,-13.96041,14.821,14.381,14.321
274.93395,-13.932786,16.08,13.863,12.751
274.936975,-13.779278,16.98,13.819,11.934
274.952674,-13.922131,17.136,15.01,13.805
274.940017,-13.816234,14.512,13.978,13.855
274.978107,-13.784282,12.876,12.539,12.325
274.645004,-14.053821,15.331,13.433,12.684
274.798187,-13.961538,16.267,14.693,13.625
274.747088,-14.039776,14.672,12.853,11.883
274.791502,-14.000963,13.435,11.1,10.28
274.867756,-13.912119,16.247,15.268,15.143
274.912617,-13.794422,18.32,15.093,13.915
274.863687,-13.923958,17.398,14.773,13.92
274.812742,-14.048517,17.089,14.523,13.647
274.875639,-13.931444,15.183,12.737,11.703
274.675901,-14.018258,16.274,14.137,12.874
274.7455,-14.048132,16.077,14.408,13.607
274.741013,-13.96451,15.751,14.631,13.896
274.744804,-14.070076,15.932,13.64,12.631
274.687262,-14.049741,16.806,15.058,13.909
274.623156,-14.0676,15.038,13.245,12.551
274.893046,-13.786044,15.52,14.357,13.718
274.668363,-14.008529,14.982,14.459,13.828
274.712694,-14.041772,14.809,14.043,13.625
274.701964,-13.971121,15.318,14.029,13.238
274.760507,-13.916799,14.804,14.399,14.004
274.827389,-14.002118,16.287,16.242,15.298
274.818194,-13.877379,15.932,14.717,13.95
274.758179,-13.921305,17.083,15.435,14.393
274.923668,-13.878019,14.954,12.952,12.12
274.717728,-14.07535,15.018,13.292,12.378
274.896492,-13.950283,14.038,11.304,9.967
274.951394,-13.849489,16.364,15.346,14.514
274.931368,-13.877928,15.883,12.982,11.713
274.873959,-13.892772,16.554,13.768,13.11
274.709578,-13.980852,15.803,13.542,13.483
274.85841,-13.945686,15.671,13.995,13.025
274.878535,-13.865141,14.338,12.341,11.481
274.755915,-13.919975,15.466,14.95,13.822
274.899405,-13.836124,15.42,12.988,11.846
274.828739,-13.987021,16.022,14.45,13.199
274.773111,-13.96636,15.825,14.578,13.285
274.805438,-14.030818,15.736,13.899,13.056
274.79194,-14.046149,16.481,14.777,13.851
274.815212,-13.89287,17.812,15.043,13.688
274.904514,-13.920198,15.618,14.46,13.939
274.823498,-13.967399,14.617,13.997,13.62
274.852093,-13.958133,14.622,12.781,11.913
274.932421,-13.965844,16.006,14.376,13.46
274.835866,-13.869422,15.033,12.518,11.312
274.974139,-13.875388,13.7,13.261,13.08
274.803835,-14.045816,16.982,14.79,13.683
274.855288,-13.983547,16.499,13.729,12.154
274.815889,-14.033312,15.675,13.367,12.262
274.806862,-14.056454,15.632,13.34,12.434
274.902472,-13.994287,15.699,14.515,13.574
274.956783,-13.871156,14.635,13.853,12.949
274.669319,-14.046854,12.319,10.401,9.639
274.882145,-13.935515,16.488,14.421,13.409
274.967315,-13.893715,16.509,14.771,13.523
274.742104,-14.000229,15.882,13.886,13.403
274.665888,-14.058982,14.935,13.417,12.852
274.721132,-14.030419,14.421,12.55,11.59
274.927288,-13.943293,16.417,14.783,13.766
274.936517,-13.900071,18.081,14.713,13.384
274.850078,-13.981881,16.749,13.787,12.092
274.795117,-13.88282,17.401,14.686,13.857
274.708873,-13.99421,16.369,14.481,13.397
274.708522,-13.972749,15.704,14.371,13.245
274.883327,-14.009762,16.364,15.352,15.548
274.878627,-13.981388,17.781,14.737,13.406
274.92945,-13.750956,15.827,15.16,14.995
274.733392,-14.059564,15.207,13.09,12.165
274.933025,-13.888639,16.091,13.242,11.946
274.786076,-14.01677,16.183,14.356,13.647
274.743087,-14.007554,15.549,13.902,13.052
274.805511,-14.004852,16.265,14.314,13.44
274.84981,-13.830756,16.164,14.603,13.122
274.865511,-13.924139,16.537,14.462,13.698
274.806511,-13.986718,16.913,14.608,13.829
274.922018,-13.770542,14.449,13.231,12.172
274.743493,-14.075963,16.31,14.157,13.05
274.821065,-14.019351,15.344,14.415,13.42
274.925352,-13.87363,13.947,11.725,10.846
274.932982,-13.76685,17.592,15.022,12.633
274.837379,-14.024833,11.973,10.448,9.223
274.935661,-13.765546,15.627,14.66,13.974
274.782654,-13.975596,14.966,12.412,11.198
274.929466,-13.846743,13.961,11.994,11.083
274.811397,-13.984563,16.004,13.692,12.661
274.766058,-14.002392,14.584,13.716,12.802
274.841991,-13.838678,18.158,15.088,13.95
274.714258,-14.04385,14.911,13.174,12.338
274.811333,-13.878874,17.149,14.544,13.347
274.738349,-13.945796,14.981,14.02,13.519
274.900449,-13.910027,15.451,13.233,12.271
274.831057,-13.964994,13.71,13.187,12.36
274.820249,-13.855826,17.81,14.85,13.533
274.87522,-13.911088,15.577,13.279,12.4
274.757072,-13.991341,12.206,10.249,9.285
274.850539,-13.975955,15.941,14.507,14.005
274.98267,-13.845129,14.304,11.249,9.763
274.859999,-13.947644,15.901,14.857,13.926
274.920205,-13.88699,12.041,9.563,8.422
274.953432,-13.874514,17.301,13.851,12.404
274.880883,-13.85389,16.219,14.457,13.911
274.970579,-13.822354,17.403,14.608,12.938
274.957743,-13.841679,18.18,15.464,14.02
274.808186,-13.982235,16.891,15.113,14.084
274.870733,-13.998202,15.299,12.85,11.78
274.798783,-13.94008,16.934,15.003,14.151
274.659823,-14.02568,15.263,14.098,13.187
274.782542,-13.965369,16.275,14.859,13.849
274.767692,-13.911825,15.895,15.007,14.815
274.980788,-13.75826,18.195,14.925,13.911
274.714675,-14.077908,12.646,10.525,9.544
274.660029,-14.041372,12.755,12.261,12.097
274.972606,-13.886365,16.776,14.768,13.831
274.624839,-14.051597,16.03,13.823,13.145
274.68664,-14.077369,15.286,12.792,12.049
274.67802,-14.078874,14.775,13.031,12.246
274.768868,-14.061597,15.214,13.487,13.518
274.864261,-13.872797,12.455,9.965,8.793
274.730719,-14.083375,15.907,14.593,13.455
274.731901,-13.957205,16.298,15.459,13.829
274.784462,-13.895371,15.602,14.912,14.204
274.72286,-13.993072,13.716,11.52,10.426
274.721252,-14.0216,15.18,14.539,13.741
274.775264,-14.032651,16.084,15.039,14.017
274.895335,-13.794108,18.132,14.92,14.035
274.867012,-13.853158,16.325,13.925,12.88
274.790967,-13.90718,14.576,12.064,10.823
274.897357,-13.841616,17.816,15.003,14.074
274.799943,-14.02064,15.321,14.768,14.132
274.738945,-14.011491,13.564,11.892,11.209
274.810928,-13.895927,15.294,12.691,11.395
274.764042,-14.056801,13.754,13.281,13.028
274.889511,-13.966473,16.461,15.359,14.384
274.734799,-14.074364,14.536,12.748,11.989
274.92983,-13.963578,15.858,14.338,11.982
274.840941,-13.84188,16.168,14.108,13.09
274.821702,-13.853565,15.916,14.559,13.539
274.693113,-14.057245,13.001,12.619,11.887
274.763614,-13.993732,13.51,11.589,10.738
274.887889,-13.790398,15.944,15.339,15.473
274.777282,-14.031887,16.034,14.697,13.653
274.934779,-13.878266,17.139,14.354,13.168
274.834288,-13.856161,14.535,12.237,11.108
274.917696,-13.920759,15.138,13.564,12.902
274.696122,-14.009362,15.346,14.647,12.262
274.944906,-13.931527,16.264,14.073,12.87
274.853347,-13.958772,16.45,14.011,13.363
274.820799,-13.924498,16.078,14.37,13.378
274.921715,-13.923256,14.537,13.529,13.018
274.846498,-13.871178,16.25,13.922,12.841
274.926011,-13.915077,16.274,14.901,13.302
274.970393,-13.779073,18.293,16.121,14.147
274.94131,-13.942918,13.771,11.428,10.351
274.945591,-13.801582,16.909,14.58,13.077
274.648691,-14.064234,15.72,13.949,12.928
274.748444,-13.989165,15.628,14.628,13.823
274.753018,-14.079531,16.435,14.511,13.398
274.689065,-13.98268,16.338,14.559,13.446
274.729584,-14.028836,15.825,14.137,13.443
274.823624,-13.861271,16.39,14.292,13.183
274.883099,-13.84846,16.285,15.161,14.273
274.87894,-13.828307,16.766,14.183,13.056
274.968576,-13.726901,16.343,15.359,13.979
274.644587,-14.040485,15.864,14.196,13.346
274.686273,-14.006839,18.057,14.753,13.518
274.741992,-14.071818,14.965,14.6,13.452
274.840569,-13.882222,17.373,15.114,13.886
274.835433,-14.040952,14.809,13.301,12.428
274.836924,-14.045658,14.021,12.122,11.388
274.895252,-13.92823,13.772,11.582,10.62
274.654052,-14.06705,13.543,12.052,11.519
274.800395,-13.935796,14.29,12.452,11.547
274.758048,-13.911761,17.81,15.317,14.041
274.729411,-14.007419,14.317,12.595,11.815
274.763506,-13.996796,15.198,14.387,13.38
274.870033,-13.975061,16.393,13.833,12.672
274.823758,-14.011471,15.626,14.633,14.393
274.885961,-13.920343,15.668,13.396,12.307
274.8811,-13.829682,17.094,15.096,13.851
274.759363,-14.008055,13.857,11.906,11.1
274.84985,-13.932533,14.378,13.627,12.95
274.827936,-13.885307,14.444,14.63,13.492
274.84378,-13.923244,15.31,14.733,13.381
274.974707,-13.826057,18.223,14.883,13.418
274.679768,-14.038382,16.05,14.348,13.678
274.928901,-13.959318,14.052,14.016,13.135
274.800286,-13.981251,17.529,14.863,13.458
274.678175,-14.05701,13.643,12.828,12.136
274.772161,-13.909319,15.828,14.702,13.418
274.965494,-13.748751,18.129,15.018,13.05
274.847524,-13.827325,14.86,11.854,10.303
274.798154,-13.918257,17.07,14.676,13.463
274.738029,-13.980658,14.865,12.617,11.622
274.913793,-13.898274,16.55,14.344,13.346
274.865187,-13.843839,15.023,12.486,11.314
274.92792,-13.877146,13.358,12.864,12.743
274.933494,-13.775103,13.452,13.022,12.872
274.857259,-13.856778,13.315,10.682,9.378
274.800912,-14.000606,11.457,11.257,11.068
274.70779,-14.037855,16.349,14.686,13.993
274.94229,-13.933153,17.686,15.327,15.142
274.922202,-13.906422,16.078,14.61,13.566
274.9533,-13.925575,15.394,13.673,12.876
274.858591,-13.956936,16.555,14.86,13.894
274.937299,-13.770678,16.955,14.745,12.89
274.623998,-14.061275,15.982,15.265,15.437
274.897223,-13.826047,15.707,13.297,12.308
274.938287,-13.948048,16.296,14.452,13.557
274.74044,-13.961805,15.177,14.743,14.21
274.670534,-14.026926,13.942,11.802,10.88
274.96227,-13.783751,13.785,13.34,13.116
274.823579,-13.858015,10.154,9.495,9.302
274.931563,-13.941117,17.445,14.854,13.657
274.687655,-14.053869,15.791,14.102,13.426
274.774043,-13.994218,13.475,11.119,10.045
274.794135,-13.897862,14.37,13.624,13.465
274.895238,-13.862102,16.656,15.069,13.996
274.981976,-13.826471,16.153,14.955,13.678
274.986131,-13.795721,16.929,13.783,11.789
274.767323,-14.0534,14.715,11.457,9.865
274.78907,-13.906555,14.212,11.845,10.794
274.785763,-13.984393,13.387,13.017,12.947
274.846023,-14.013028,15.979,14.552,13.487
274.94426,-13.774393,14.02,13.576,13.363
274.747493,-14.046218,15.762,13.887,13.007
274.853587,-13.965417,14.949,14.454,13.488
274.819037,-13.98902,16.259,14.241,13.288
274.941377,-13.755607,17.238,14.304,12.113
274.656239,-14.081375,15.228,13.4,12.611
274.661726,-14.037144,16.158,13.379,12.238
274.699747,-14.068295,15.815,14.477,14.124
274.705149,-14.053143,14.206,12.097,11.126
274.978126,-13.759004,13.267,12.886,12.721
274.893473,-13.793125,15.937,13.298,12.092
274.926148,-13.903849,15.721,14.4,13.381
274.938271,-13.866678,18.022,14.999,13.583
274.772337,-14.01838,15.68,14.675,15.353
274.819818,-14.026415,15.55,14.461,13.7
274.698419,-14.063123,15.988,13.915,12.954
274.845544,-13.907703,15.508,14.453,13.696
274.650326,-14.067893,14.579,12.887,12.197
274.857291,-13.877567,16.198,14.09,13.163
274.848245,-14.00838,16.226,14.423,13.027
274.916722,-13.938479,15.134,12.845,11.81
274.841637,-13.924483,14.725,14.253,14.042
274.860076,-13.949411,14.66,13.778,13.303
274.753949,-14.045314,15.721,13.6,12.66
274.768894,-14.059883,13.429,11.938,11.286
274.59968,-14.063016,16.166,14.198,13.53
274.945602,-13.771963,17.309,15.666,13.711
274.767606,-13.976048,15.448,13.12,12.066
274.866331,-13.831453,12.765,12.134,11.759
274.787032,-13.97872,16.22,14.562,13.28
274.897499,-14.008644,14.451,11.501,10.129
274.955934,-13.84725,16.324,13.143,11.707
274.796028,-14.008522,15.65,13.729,12.923
274.69627,-14.080417,15.769,14.61,13.825
274.694867,-14.016717,11.882,9.684,8.539
274.83377,-13.91673,16.34,13.667,12.371
274.842506,-13.891905,15.861,13.931,13.147
274.861735,-14.002697,17.34,15.006,14.099
274.899742,-13.943435,16.525,15.627,14.456
274.976467,-13.824576,14.09,13.485,10.777
274.872379,-13.888577,15.661,14.472,13.792
274.828855,-13.977671,18.066,15.388,14.356
274.902586,-13.850373,14.802,14.177,13.188
274.710435,-14.050347,16.046,14.568,14.072
274.804986,-13.906888,16.996,14.68,13.655
274.775672,-13.952579,16.687,14.254,13.25
274.87601,-13.847658,14.151,12.31,11.443
274.896136,-13.909238,15.976,13.969,13.064
274.804224,-13.955286,17.769,14.699,13.668
274.863644,-13.819394,17.763,14.162,12.43
274.723283,-14.036361,15.687,13.88,13.181
274.807442,-13.907362,16.477,14.18,13.252
274.764548,-14.077626,15.68,14.883,14.389
274.821629,-13.888273,14.986,12.009,10.643
274.89034,-13.959759,16.253,15.043,14.143
274.877991,-13.803996,16.463,14.64,13.022
274.894602,-14.00995,16.898,14.729,13.876
274.715311,-14.033527,16.309,14.605,13.91
274.86543,-13.910383,14.47,12.363,11.469
274.847414,-13.857847,16.22,14.507,13.571
274.864022,-14.001716,18.024,14.446,13.858
274.896635,-13.831916,16.383,14.367,13.258
274.921856,-13.946906,15.612,13.722,13.318
274.749885,-13.960954,15.275,14.577,14.302
274.81803,-13.855754,17.405,15.391,14.391
274.750759,-13.926215,10.045,9.89,9.785
274.73477,-14.070519,16.213,14.141,13.249
274.942369,-13.909193,16.517,13.699,12.329
274.767548,-14.074656,15.61,13.699,12.921
274.760305,-14.04066,16.362,15.309,14.537
274.7417,-13.945224,15.734,14.29,12.962
274.821048,-13.870165,13.223,10.927,9.833
274.908869,-13.913459,16.622,14.554,13.618
274.83319,-13.847458,15.808,13.577,13.528
274.914763,-13.966752,16.385,15.753,15.193
274.753326,-14.015261,15.448,13.597,12.797
274.921663,-13.850417,17.996,15.0,13.819
274.780912,-14.061838,16.108,14.803,14.08
274.828743,-13.950735,13.985,13.247,12.746
274.973604,-13.862468,17.583,14.245,12.843
274.969052,-13.838357,16.583,15.032,13.69
274.856785,-13.968225,16.381,14.7,13.126
274.960272,-13.82919,12.987,12.026,10.993
274.720743,-14.028189,15.045,13.026,12.113
274.875225,-13.830927,17.501,14.638,13.552
274.96312,-13.88459,18.157,15.153,13.702
274.705671,-14.035274,14.25,12.813,12.125
274.674976,-14.065875,14.819,14.383,13.272
274.965253,-13.821362,17.627,13.557,11.988
274.730373,-14.057711,14.914,14.158,12.949
274.947295,-13.869549,14.422,12.326,11.203
274.808323,-13.970826,14.566,13.92,13.714
274.760953,-14.03041,15.507,13.27,12.179
274.796084,-14.063111,16.149,14.481,13.664
274.616166,-14.055455,16.887,14.795,14.903
274.916209,-13.782776,14.844,13.977,13.788
274.852408,-13.943378,15.932,13.893,12.987
274.604995,-14.058883,15.229,13.403,12.678
274.762428,-13.918532,15.433,14.737,13.452
274.90609,-13.809553,18.056,14.989,13.596
274.64499,-14.033746,16.064,13.811,12.69
274.774448,-13.944632,17.857,15.152,13.946
274.84531,-13.959558,17.597,14.797,13.708
274.711188,-14.061047,15.039,12.722,11.646
274.848557,-13.9132,15.772,13.624,12.645
274.762958,-14.004393,12.926,10.916,9.903
274.724127,-13.944475,16.979,14.342,12.837
274.881807,-13.855176,16.708,14.92,13.905
274.795499,-14.027781,16.139,14.377,13.479
274.907772,-13.899559,16.685,14.666,13.615
274.707194,-14.035574,13.259,12.9,11.52
274.892143,-13.9223,16.455,15.043,14.239
274.850276,-13.942375,13.728,12.846,12.444
274.692327,-14.024928,17.529,14.9,13.393
274.879222,-14.00714,16.392,14.409,12.891
274.912836,-13.848797,13.348,12.854,12.603
274.788401,-13.953847,14.991,12.716,11.688
274.894894,-13.945827,16.64,14.139,13.019
274.6045,-14.061802,13.031,11.234,10.251
274.797491,-14.066624,13.965,13.019,12.61
274.804877,-13.91268,14.356,13.504,13.273
274.922051,-13.836086,17.734,15.235,13.802
274.900945,-13.903238,12.454,11.81,11.36
274.836101,-14.037536,15.217,13.358,12.489
274.944569,-13.830138,18.145,15.448,13.882
274.899343,-13.965632,18.1,14.914,13.682
274.877738,-14.001279,16.409,14.867,13.762
274.884929,-13.861673,15.484,14.366,13.084
274.936921,-13.950225,16.262,14.135,13.188
274.747992,-13.971287,18.014,15.168,14.081
274.869489,-13.884363,16.721,14.567,13.581
274.862392,-13.84573,14.369,12.46,11.561
274.922971,-13.950175,15.63,13.717,12.879
274.967759,-13.827012,17.032,13.417,11.801
274.858201,-13.918294,14.156,12.13,11.215
274.83525,-14.044244,15.772,14.148,13.486
274.855786,-14.001678,17.068,14.226,12.136
274.788212,-13.943533,16.239,15.206,13.854
274.63957,-14.067777,15.739,14.185,12.065
274.611341,-14.056347,15.066,13.367,12.634
274.752605,-14.039481,16.969,14.34,13.253
274.863976,-13.903705,15.778,15.002,14.004
274.903251,-13.929532,16.873,14.798,13.557
274.886033,-14.008331,15.11,14.226,13.727
274.737456,-13.947283,13.914,13.511,12.618
274.830178,-13.922363,16.475,14.646,13.443
274.81801,-14.001245,16.24,15.531,15.252
274.822709,-14.037254,15.999,14.009,13.077
274.880758,-13.99956,14.163,11.179,9.765
274.652526,-14.055106,15.035,13.099,12.254
274.760586,-13.999927,16.329,14.488,13.617
274.831132,-14.020027,16.203,13.238,12.016
274.972435,-13.760374,17.472,16.755,14.413
274.870009,-13.817775,16.933,14.514,12.957
274.735323,-13.941575,16.643,14.88,14.291
274.866294,-13.841778,15.615,13.911,12.765
