#ra (deg)
#___ right ascension (J2000 decimal deg)
#dec (deg)
#___ declination (J2000 decimal deg)
#err_maj (arcsec)
#___ major axis of 1-sigma error ellipse
#err_min (arcsec)
#___ minor axis of 1-sigma error ellipse
#err_ang (deg)
#___ angle of error ellipse major axis (E of N)
#designation
#___ source designation formed from sexigesimal coordinates
#j_m (mag)
#___ J band selected "default" magnitude
#j_cmsig (mag)
#___ corrected J band photometric uncertainty
#j_msigcom (mag)
#___ combined (total) J band photometric uncertainty
#j_snr
#___ J band "scan" signal-to-noise ratio
#h_m (mag)
#___ H band selected "default" magnitude
#h_cmsig (mag)
#___ corrected H band photometric uncertainty
#h_msigcom (mag)
#___ combined (total) H band photometric uncertainty
#h_snr
#___ H band "scan" signal-to-noise ratio
#k_m (mag)
#___ K band selected "default" magnitude
#k_cmsig (mag)
#___ corrected K band photometric uncertainty
#k_msigcom (mag)
#___ combined (total) K band photometric uncertainty
#k_snr
#___ K band "scan" signal-to-noise ratio
#ph_qual
#___ flag indicating photometric quality of source
#rd_flg
#___ source of JHK "default" mags (AKA "read flag")
#bl_flg
#___ indicates # JHK components fit simultaneously to source
#cc_flg
#___ indicates JHK artifact contamination and/or confusion
#ndet
#___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
#gal_contam
#___ flag indicating if src is contaminated by extended source
#mp_flg
#___ src is positionally associated with an asteroid, comet, etc
#j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra,dec,j_m,h_m,k_m
274.426321,-13.74452,15.679,13.366,12.255
274.428059,-13.769484,15.885,14.094,13.181
274.424496,-13.81544,16.142,15.349,15.554
274.424921,-13.876265,15.117,13.279,12.492
274.435195,-13.80497,16.33,15.083,14.341
274.436233,-13.845018,15.252,13.607,12.968
274.423425,-13.810063,17.34,14.301,13.195
274.435134,-13.870301,15.762,14.435,13.59
274.43309,-13.715785,16.074,15.089,14.744
274.434715,-13.736315,14.904,14.771,13.251
274.43069,-13.799525,16.356,14.675,14.036
274.420853,-13.833313,14.918,13.046,12.311
274.427487,-13.83087,15.679,13.628,12.738
274.42894,-13.82012,16.547,14.371,13.168
274.421415,-13.858602,16.198,14.695,12.924
274.421796,-13.748782,17.854,14.953,13.977
274.436391,-13.80884,18.042,15.155,14.055
274.432871,-13.737541,15.833,13.7,12.765
274.432704,-13.903344,15.988,14.016,13.181
274.4391,-13.906234,15.091,14.13,13.22
274.424646,-13.831354,16.074,14.276,13.228
274.436838,-13.830626,17.256,14.981,15.273
274.434745,-13.759304,16.541,14.27,13.112
274.422162,-13.859782,15.574,13.017,12.021
274.420229,-13.809199,17.343,14.677,13.56
274.424251,-13.775857,13.701,11.017,9.826
274.416506,-13.827006,16.089,13.997,13.086
274.430705,-13.763183,15.254,12.531,11.309
274.436654,-13.805695,16.538,15.194,14.279
274.422484,-13.854293,17.421,15.32,14.274
274.430689,-13.767814,18.09,14.544,13.271
274.429727,-13.891072,13.743,13.327,13.108
274.423746,-13.812107,16.182,16.025,15.995
274.425183,-13.870926,15.028,12.816,12.392
274.427657,-13.888142,17.144,15.275,15.175
274.432041,-13.898124,15.046,13.632,13.089
274.432324,-13.839741,15.689,14.018,13.32
274.435255,-13.855051,14.286,13.845,13.564
274.43645,-13.871934,15.306,14.798,13.12
274.436822,-13.897901,14.655,12.564,11.739
274.430214,-13.853014,14.127,11.49,10.664
274.434539,-13.714679,16.286,13.834,12.629
274.422138,-13.746696,16.625,15.526,14.715
274.431213,-13.741975,16.376,14.347,13.489
274.435242,-13.747493,14.404,13.851,13.793
274.433842,-13.902171,13.929,12.018,11.225
274.428585,-13.750475,14.358,12.018,10.952
274.432612,-13.752058,15.009,12.378,11.169
274.621263,-14.070036,15.238,14.144,13.529
274.662,-14.028258,15.899,14.461,14.184
274.682343,-14.082343,13.135,10.938,9.959
274.733087,-13.968441,17.984,15.064,13.326
274.660462,-14.026708,15.28,13.355,13.078
274.812007,-13.979013,15.635,14.144,13.068
274.686772,-14.02833,15.019,12.813,11.829
274.861217,-14.004983,15.135,14.478,13.616
274.91445,-13.861802,16.486,14.645,13.56
274.888808,-13.978137,17.672,12.722,10.641
274.739657,-13.95298,16.128,14.683,13.838
274.742897,-14.051293,16.369,14.163,13.927
274.778029,-14.052334,15.821,13.994,13.092
274.845423,-13.91885,16.232,14.047,13.868
274.718495,-14.018639,14.954,13.105,12.375
274.754966,-13.993986,14.762,13.816,13.296
274.741165,-13.99468,12.987,12.858,12.683
274.812436,-13.909396,16.04,13.888,12.91
274.810159,-14.029961,13.86,11.83,10.882
274.929367,-13.877034,15.901,13.763,12.865
274.846621,-13.940364,16.253,14.522,13.699
274.8915,-13.964561,17.2,14.568,13.777
274.918428,-13.894518,16.567,15.229,13.946
274.918871,-13.946581,15.587,13.815,12.931
274.875346,-13.815535,16.425,15.725,15.589
274.791926,-14.010713,14.396,11.685,10.432
274.836011,-13.977647,15.881,14.161,12.991
274.77716,-14.015948,14.511,12.325,11.507
274.800745,-13.966968,16.762,14.719,13.616
274.877501,-13.949943,15.665,13.618,12.805
274.870855,-13.898461,14.865,14.329,13.928
274.730373,-14.049978,16.512,14.699,13.657
274.842726,-13.986083,16.657,14.65,13.694
274.907218,-13.916339,16.112,14.234,13.046
274.887363,-13.855756,15.57,13.477,12.56
274.814087,-13.991667,15.693,14.909,14.807
274.873038,-13.930416,16.352,13.99,12.817
274.814816,-13.983248,15.716,14.283,13.15
274.922142,-13.935061,15.64,13.104,11.999
274.951663,-13.757608,17.41,15.446,14.037
274.966815,-13.856904,13.328,13.0,12.883
274.965917,-13.809976,16.746,16.286,13.98
274.972769,-13.769413,17.386,14.484,13.003
274.605645,-14.061247,15.099,13.279,12.46
274.789562,-14.066152,15.383,13.855,13.12
274.804721,-13.902208,16.381,14.926,14.067
274.812328,-13.945626,15.139,14.272,14.111
274.901685,-13.779385,16.265,13.316,11.764
274.721547,-14.025119,15.756,14.111,13.305
274.920591,-13.862567,16.264,14.447,13.665
274.712037,-13.977808,15.671,14.479,13.335
274.894153,-13.79075,16.654,14.477,13.42
274.938795,-13.794929,15.471,13.861,13.513
274.668337,-14.00734,15.633,14.275,13.508
274.717516,-14.07338,16.66,14.373,13.481
